data,descricao,valor,categoria
2026-02-01,COMPRA IFOOD *PEDIDO 26499,-27.52,alimentacao
2026-02-01,ENEL SP 303865,-54.73,contas_fixas
2026-02-01,COMPRA AUTO POSTO 9360 355405,-12.65,transporte
2026-02-01,padaria eireli,-17.15,alimentacao
2026-02-01,UBER *EATS,-42.69,alimentacao
2026-02-01,ASSAI ATACAD,-98.28,mercado
2026-02-01,COMPRA PIZZARIA EIRELI,-16.94,alimentacao
2026-02-01,dl*bk brasil 3741,-68.88,alimentacao
2026-02-01,MC DONALDS,-42.62,alimentacao
2026-02-02,PIZZARIA SP 766592,-54.0,alimentacao
2026-02-02,IFOOD *PEDIDO,-57.99,alimentacao
2026-02-02,TEF UBER *EATS 600312,-37.2,alimentacao
2026-02-02,TED ENVIADA 207451,-231.99,transferencia
2026-02-03,DIA SUPERMERCADO,-33.26,mercado
2026-02-03,aluguel 01,-393.1,contas_fixas
2026-02-03,INGRESSO.COM,-12.13,lazer
2026-02-03,pag*farmacia 70377,-51.79,saude
2026-02-03,tarifa pacote,-106.96,outros
2026-02-03,C*REST LTDA,-73.7,alimentacao
2026-02-04,PIX*CENTRO,-1.46,outros
2026-02-04,TEF REST EIRELI,-17.55,alimentacao
2026-02-04,UDEMY,-177.91,educacao
2026-02-04,CLARO NET 190247,-69.37,contas_fixas
2026-02-04,SALARIO 852348,523.63,transferencia
2026-02-05,SPOTIFY BR,-30.43,lazer
2026-02-05,COMGAS,-193.91,contas_fixas
2026-02-05,COMPRA DROGARIA SP,-71.94,saude
2026-02-05,LAB ME,-80.12,saude
2026-02-05,TEF INTERNET VIVO 38676,-45.54,contas_fixas
2026-02-06,ESTAPAR ESTAC 526231,-29.95,transporte
2026-02-06,BAR DO ME 59918,-28.75,alimentacao
2026-02-06,COMPRA ASSAI ATACAD 931467,-111.37,mercado
2026-02-06,CINEMARK 2987 555086,-26.74,lazer
2026-02-06,C*INGRESSO.COM 117035,-84.2,lazer
2026-02-06,RECARGA BU 5106,-39.94,transporte
2026-02-07,ALUGUEL JOAO,-186.53,contas_fixas
2026-02-07,TEF METRO SP,-24.55,transporte
2026-02-07,PIZZARIA RJ 900287,-38.9,alimentacao
2026-02-07,pag*ze delivery,-36.49,alimentacao
2026-02-07,C*STEAMGAMES.COM,-73.35,lazer
2026-02-08,salario,259.56,transferencia
2026-02-08,SPOTIFY 258892,-7.26,lazer
2026-02-08,C*DISNEY PLUS,-38.91,lazer
2026-02-08,REST RJ,-23.15,alimentacao
2026-02-08,BURGER KING,-53.31,alimentacao
2026-02-09,METRO SP,-26.54,transporte
2026-02-09,PIX*JOAO 828563,-79.22,transferencia
2026-02-09,FARMA CENTRO,-146.47,saude
2026-02-09,DIA SUPERMERCADO 279867,-72.36,mercado
2026-02-10,C*HABIBS,-55.47,alimentacao
2026-02-10,PAGAMENTO RECEBIDO,135.82,transferencia
2026-02-10,hotmart*curso,-150.85,educacao
2026-02-11,PAG*TED ENVIADA 598182,-461.47,transferencia
2026-02-11,RAPPI*BRASIL,-43.33,alimentacao
2026-02-11,PAG*PLAYSTATION NET 201119,-42.92,lazer
2026-02-11,PAG*TED RECEBIDA,580.93,transferencia
2026-02-11,INGRESSO.COM,-23.75,lazer
2026-02-11,TRANSF ENVIADA 660494,-2132.2,transferencia
2026-02-12,IPTU ME,-164.76,contas_fixas
2026-02-12,C*SUBWAY 2506,-25.08,alimentacao
2026-02-12,TEF CARREFOUR 9972 391121,-95.99,mercado
2026-02-13,DL*ESTAPAR ESTAC 765915,-24.1,transporte
2026-02-13,BK BRASIL 8299,-46.44,alimentacao
2026-02-13,spotify br,-12.11,lazer
2026-02-13,PIX ENVIADO,-252.84,transferencia
2026-02-13,99*app 990493,-13.32,transporte
2026-02-13,PAG*CARREFOUR,-148.1,mercado
2026-02-14,COMPRA HORTIFRUTI JOAO,-1543.09,mercado
2026-02-14,COMPRA RECARGA BU 9787,-43.81,transporte
2026-02-14,SABESP,-169.14,contas_fixas
2026-02-14,PIZZARIA EIRELI,-37.07,alimentacao
2026-02-14,PAG*CARREFOUR,-293.84,mercado
2026-02-14,POSTO SHELL,-12.6,transporte
2026-02-14,CINEMARK 3764,-29.5,lazer
2026-02-14,POSTO IPIRANGA,-54.34,transporte
2026-02-15,COMPRA POSTO IPIRANGA,-20.53,transporte
2026-02-15,pag*alura 829611,-68.8,educacao
